zona_basica_salud;fecha_informe;Confirmados 14 días;Tasa Incidencia;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Abrantes;31/05/2020 9:00;6;19,51;302;982,18;1
Acacias;31/05/2020 9:00;;15,44;198;1018,94;2
Adelfas;31/05/2020 9:00;10;34,28;400;1371,37;3
Alameda;31/05/2020 9:00;;23,5;171;803,8;4
Alameda de Osuna;31/05/2020 9:00;;10,34;284;979,28;5
Alcalde Bartolomé González;31/05/2020 9:00;;13,97;231;1075,57;6
Alcalá de Guadaira;31/05/2020 9:00;;8,16;168;1370,87;7
Alcobendas - Chopera;31/05/2020 9:00;;3,63;175;634,91;8
Alcocer;31/05/2020 9:00;;5,82;186;1082,09;9
Algete;31/05/2020 9:00;15;53,5;205;731,12;10
Alicante;31/05/2020 9:00;;8,02;218;874,24;11
Almendrales;31/05/2020 9:00;6;27,89;210;976,2;12
Alpedrete;31/05/2020 9:00;;13,72;146;1001,72;13
Alpes;31/05/2020 9:00;8;22,16;388;1074,91;14
Andrés Mellado;31/05/2020 9:00;;16,84;310;1304,99;15
Ángela Uriarte;31/05/2020 9:00;9;33,21;314;1158,63;16
Antonio Leyva;31/05/2020 9:00;;7,31;109;796,84;17
Aquitania;31/05/2020 9:00;;4,13;238;983,06;18
Aranjuez;31/05/2020 9:00;;0;330;750,58;19
Aravaca;31/05/2020 9:00;15;41,27;366;1006,93;20
Arganda del Rey;31/05/2020 9:00;7;32,2;200;919,96;21
Arganda - Felicidad;31/05/2020 9:00;;5,94;162;481,44;22
Argüelles;31/05/2020 9:00;6;24,9;241;999,96;23
Arroyomolinos;31/05/2020 9:00;;15,93;186;592,43;24
Barajas;31/05/2020 9:00;;28,4;137;778,1;25
Barcelona;31/05/2020 9:00;8;38,17;182;868,44;26
Barrio del Puerto;31/05/2020 9:00;;19,73;111;730,17;27
Baviera;31/05/2020 9:00;;33,93;171;1160,42;28
Benita de Ávila;31/05/2020 9:00;;15,44;241;1240,73;29
Boadilla del Monte;31/05/2020 9:00;6;11;380;696,35;30
Brújula;31/05/2020 9:00;;9,75;179;872,36;31
Buenavista;31/05/2020 9:00;;4,5;275;1238,01;32
Buitrago de Lozoya;31/05/2020 9:00;;0;39;714,42;33
Bustarviejo;31/05/2020 9:00;;9,75;265;1291,74;34
Butarque;31/05/2020 9:00;6;31,82;133;705,31;35
Cadalso de los Vidrios;31/05/2020 9:00;;71,4;46;821,14;36
Campamento;31/05/2020 9:00;;32,81;201;1319,07;37
Campo Real;31/05/2020 9:00;6;30,74;96;491,88;38
Campo de la Paloma;31/05/2020 9:00;11;57,61;256;1340,81;39
Canal de Panamá;31/05/2020 9:00;;12,78;276;882,04;40
Canillejas;31/05/2020 9:00;;10,5;316;1106,17;41
Carabanchel Alto;31/05/2020 9:00;;20,14;189;761,39;42
Caramuel;31/05/2020 9:00;7;30,35;234;1014,52;43
Carmen Calzado;31/05/2020 9:00;;19,25;190;1219,43;44
Casa de Campo;31/05/2020 9:00;;30,82;183;1410,19;45
Castelló;31/05/2020 9:00;;12,73;176;1119,88;46
Castilla la Nueva;31/05/2020 9:00;;21,39;211;902,64;47
Cea Bermúdez;31/05/2020 9:00;7;36,03;225;1158,12;48
Cercedilla;31/05/2020 9:00;;27,8;191;1327,59;49
Chopera;31/05/2020 9:00;11;35,04;377;1200,87;50
Ciempozuelos;31/05/2020 9:00;9;34,74;264;1019,11;51
Ciudad San Pablo;31/05/2020 9:00;;8,41;106;891,43;52
Ciudad de los Periodistas;31/05/2020 9:00;;15,92;350;1392,59;53
Collado Mediano;31/05/2020 9:00;;15,78;66;520,83;54
Collado Villalba Estación;31/05/2020 9:00;7;24,58;235;825,08;55
Collado Villalba Pueblo;31/05/2020 9:00;;20,02;180;900,86;56
Colmenar Viejo Norte;31/05/2020 9:00;;21,75;231;1255,91;57
Colmenar Viejo Sur;31/05/2020 9:00;6;18,54;205;633,52;58
Colmenar de Oreja;31/05/2020 9:00;;16,96;67;378,79;59
Comillas;31/05/2020 9:00;10;44,62;235;1048,55;60
Cortes;31/05/2020 9:00;;18,97;225;853,83;61
Coslada - Jaime Vera;31/05/2020 9:00;;28,28;212;1498,76;62
Cuzco;31/05/2020 9:00;;18,97;212;1005,22;63
Daganzo de Arriba;31/05/2020 9:00;;0;92;513,36;64
Daroca;31/05/2020 9:00;10;29,06;414;1203;65
Dehesa Vieja;31/05/2020 9:00;;10,52;96;336,57;66
Dos de Mayo;31/05/2020 9:00;;15,67;417;1306,84;67
Doctor Cirajas;31/05/2020 9:00;7;20,66;380;1121,41;68
Doctor Laín Entralgo;31/05/2020 9:00;6;25,08;290;1212,22;69
Doctor Luengo Rodríguez;31/05/2020 9:00;6;15,15;305;770,16;70
Doctor Tamames;31/05/2020 9:00;;10,44;196;1022,7;71
Doctor Trueta;31/05/2020 9:00;;28,9;122;1175,34;72
El Bercial;31/05/2020 9:00;;21,35;84;448,43;73
El Escorial;31/05/2020 9:00;;18,56;139;860,04;74
El Espinillo;31/05/2020 9:00;;18,03;129;775,1;75
El Greco;31/05/2020 9:00;;22,76;149;847,7;76
El Juncal;31/05/2020 9:00;;18,46;231;852,97;77
El Molar;31/05/2020 9:00;21;64,44;167;512,43;78
El Naranjo;31/05/2020 9:00;;13,75;175;802,27;79
El Pardo;31/05/2020 9:00;;28,97;57;1651,22;80
El Restón;31/05/2020 9:00;6;18,36;317;969,92;81
El Soto;31/05/2020 9:00;13;64,18;277;1367,5;82
Eloy Gonzalo;31/05/2020 9:00;;12,84;305;979,01;83
Embajadores;31/05/2020 9:00;7;27,12;272;1053,65;84
Ensanche Vallecas;31/05/2020 9:00;13;22,13;426;725,16;85
Entrevías;31/05/2020 9:00;8;29,1;364;1324,07;86
Espronceda;31/05/2020 9:00;9;22,12;462;1135,39;87
Estrecho de Corea;31/05/2020 9:00;7;21,66;331;1024,04;88
Estrella;31/05/2020 9:00;;34,37;173;1189,25;89
Europa;31/05/2020 9:00;8;42,37;332;1758,29;90
Federica Montseny;31/05/2020 9:00;;20,34;315;1601,75;91
Felipe II;31/05/2020 9:00;;4,86;212;1030,68;92
Francia;31/05/2020 9:00;;14,57;335;976,19;93
Fuencarral;31/05/2020 9:00;6;28,66;219;1046;94
Fuente el Saz;31/05/2020 9:00;;20,23;128;647,45;95
Fuentelarreina;31/05/2020 9:00;;24,95;257;1282,24;96
Galapagar;31/05/2020 9:00;;7;331;772,07;97
Gandhi;31/05/2020 9:00;;20,49;231;1183,52;98
García Noblejas;31/05/2020 9:00;;4,54;210;953,55;99
General Fanjul;31/05/2020 9:00;11;47,11;270;1156,22;100
General Moscardó;31/05/2020 9:00;;4,95;249;1232,19;101
General Oráa;31/05/2020 9:00;;19,07;248;945,95;102
General Ricardos;31/05/2020 9:00;10;35,47;336;1191,87;103
Getafe Norte;31/05/2020 9:00;;8,64;98;846,65;104
Goya;31/05/2020 9:00;23;38,67;662;1113,02;105
Gregorio Marañón;31/05/2020 9:00;8;20,18;351;885,47;106
Griñón;31/05/2020 9:00;10;25,24;251;633,63;107
Guadarrama;31/05/2020 9:00;6;37,43;224;1397,21;108
Guayaba;31/05/2020 9:00;;21,78;176;958,4;109
Guzmán el Bueno;31/05/2020 9:00;6;28,08;263;1230,93;110
Huerta de Los Frailes;31/05/2020 9:00;30;152,9;304;1549,36;111
Humanes de Madrid;31/05/2020 9:00;;12,06;153;614,98;112
Ibiza;31/05/2020 9:00;11;32,36;463;1362,17;113
Imperial;31/05/2020 9:00;9;39,56;299;1314,11;114
Infanta Mercedes;31/05/2020 9:00;;13,88;163;1131,16;115
Isabel II;31/05/2020 9:00;12;35,98;277;830,53;116
Jazmín;31/05/2020 9:00;6;25,47;221;938,07;117
Juan de Austria;31/05/2020 9:00;;0;209;1416,66;118
Juan de la Cierva;31/05/2020 9:00;;10,55;263;693,58;119
Justicia;31/05/2020 9:00;;14,37;120;862,19;120
La Cabrera;31/05/2020 9:00;;27,82;39;542,42;121
La Elipa;31/05/2020 9:00;;14,58;162;1181,36;122
La Garena;31/05/2020 9:00;;11,92;70;834,72;123
La Marazuela;31/05/2020 9:00;;16,61;73;606,26;124
La Moraleja;31/05/2020 9:00;;8,41;171;719,18;125
La Plata;31/05/2020 9:00;;6,8;161;547,06;126
La Princesa;31/05/2020 9:00;8;40,32;187;942,59;127
La Ribota;31/05/2020 9:00;;16,39;183;999,78;128
La Ventilla;31/05/2020 9:00;;8,83;313;1382,63;129
La Veredilla;31/05/2020 9:00;;0;107;878,63;130
Las Águilas;31/05/2020 9:00;10;36,28;323;1171,99;131
Las Américas;31/05/2020 9:00;;4,89;189;462,11;132
Las Calesas;31/05/2020 9:00;;15,14;317;1199,89;133
Las Ciudades;31/05/2020 9:00;;11,87;145;860,33;134
Las Fronteras;31/05/2020 9:00;;12,12;274;829,93;135
Las Margaritas;31/05/2020 9:00;8;33,3;169;703,38;136
Las Matas;31/05/2020 9:00;;30,21;58;876,13;137
Las Olivas;31/05/2020 9:00;;31,97;131;837,54;138
Las Rozas;31/05/2020 9:00;;7,83;307;800,81;139
Las Tablas;31/05/2020 9:00;;15,34;136;417,2;140
Lavapiés;31/05/2020 9:00;6;25,4;205;867,8;141
Leganés Norte;31/05/2020 9:00;;31,28;301;2354,14;142
Legazpi;31/05/2020 9:00;10;35,61;262;932,92;143
Londres;31/05/2020 9:00;;13,93;175;1218,58;144
Los Alperchines;31/05/2020 9:00;;10,12;210;1062,86;145
Los Ángeles;31/05/2020 9:00;;6,41;366;1173,26;146
Los Castillos;31/05/2020 9:00;11;41,06;318;1186,97;147
Los Cármenes;31/05/2020 9:00;11;43,84;262;1044,24;148
Los Fresnos;31/05/2020 9:00;;0;60;655,59;149
Los Pedroches;31/05/2020 9:00;14;64,26;453;2079,22;150
Los Rosales;31/05/2020 9:00;6;28,62;216;1030,44;151
Los Yébenes;31/05/2020 9:00;9;26,58;420;1240,26;152
Lucero;31/05/2020 9:00;15;38,42;554;1419,13;153
Luis Vives;31/05/2020 9:00;;0;254;1041,58;154
Majadahonda;31/05/2020 9:00;13;25,54;442;868,39;155
Manuel Merino;31/05/2020 9:00;;8,65;170;1470,59;156
Manzanares El Real;31/05/2020 9:00;;12,23;88;538,29;157
Maqueda;31/05/2020 9:00;17;62,72;354;1306,03;158
Mar Báltico;31/05/2020 9:00;12;18,81;644;1009,58;159
Marqués de la Valdavia;31/05/2020 9:00;;5,69;107;609,24;160
Martín de Vargas;31/05/2020 9:00;;11,54;170;980,9;161
Martínez de la Riva;31/05/2020 9:00;;17,96;176;1053,77;162
María Curie;31/05/2020 9:00;;30,57;123;940,08;163
María Montessori;31/05/2020 9:00;6;43,21;251;1807,58;164
María de Guzmán;31/05/2020 9:00;;22,52;312;1405,34;165
Meco;31/05/2020 9:00;;7,76;214;829,94;166
Media Legua;31/05/2020 9:00;12;47,89;365;1456,62;167
Mejorada del Campo;31/05/2020 9:00;;6,77;312;704,27;168
Mendiguchía Carriche;31/05/2020 9:00;7;30,85;314;1383,81;169
Miguel Servet;31/05/2020 9:00;;5,82;213;1239,6;170
Miguel de Cervantes;31/05/2020 9:00;6;22,01;328;1203,4;171
Miraflores;31/05/2020 9:00;;13,73;159;727,86;172
Mirasierra;31/05/2020 9:00;;12,16;393;1195;173
Monforte de Lemos;31/05/2020 9:00;;18,72;270;1684,55;174
Monovar;31/05/2020 9:00;;14,15;231;1089,83;175
Montecarmelo;31/05/2020 9:00;;10,82;119;643,94;176
Monterrozas;31/05/2020 9:00;;10,3;382;984,1;177
Montesa;31/05/2020 9:00;;16,43;375;1540,23;178
Moralzarzal;31/05/2020 9:00;;15,35;77;591,13;179
Morata de Tajuña;31/05/2020 9:00;;13,02;99;1288,56;180
María Jesús Hereza;31/05/2020 9:00;19;49,61;587;1532,68;181
Méndez Álvaro;31/05/2020 9:00;;11,12;64;711,59;182
Navalcarnero;31/05/2020 9:00;20;48,4;298;721,15;183
Navas del Rey;31/05/2020 9:00;;28,69;141;2022,67;184
Nuestra Señora del Pilar;31/05/2020 9:00;;22,67;192;1088,07;185
Numancia;31/05/2020 9:00;20;82,37;364;1499,11;186
Nuñez Morgado;31/05/2020 9:00;7;30,02;252;1080,9;187
Opañel;31/05/2020 9:00;;25,79;280;1444,19;188
Orcasitas;31/05/2020 9:00;;8,76;186;814,61;189
Orcasur;31/05/2020 9:00;;7,24;129;933,7;190
Pacífico;31/05/2020 9:00;17;51,73;381;1159,43;191
Palma Universidad;31/05/2020 9:00;;4,09;238;973,89;192
Palomares;31/05/2020 9:00;6;48,61;258;2090,25;193
Panaderas;31/05/2020 9:00;;8,09;292;787,21;194
Paracuellos del Jarama;31/05/2020 9:00;;0;73;288,89;195
Parque Coimbra;31/05/2020 9:00;7;57,28;188;1538,46;196
Parque Europa;31/05/2020 9:00;;12,03;172;517,32;197
Parque Loranca;31/05/2020 9:00;6;19,31;170;547,06;198
Parque Oeste;31/05/2020 9:00;;0;128;882,58;199
Pavones;31/05/2020 9:00;13;80,37;257;1588,87;200
Perales de Tajuña;31/05/2020 9:00;;22,63;77;871,14;201
Perales del Río;31/05/2020 9:00;;20,77;81;841,3;202
Peña Prieta;31/05/2020 9:00;17;98,91;242;1408,04;203
Peñagrande;31/05/2020 9:00;7;28;381;1524,06;204
Pilar;31/05/2020 9:00;7;16,77;668;1600,46;205
Pinto;31/05/2020 9:00;6;31,12;131;679,53;206
Pintores;31/05/2020 9:00;;8,28;152;629,43;207
Pizarro;31/05/2020 9:00;;24,27;249;1510,74;208
Portazgo;31/05/2020 9:00;;22,32;281;1567,64;209
Potosí;31/05/2020 9:00;;17,13;284;973,1;210
Pozo de Tío Raimundo;31/05/2020 9:00;;0;111;1542,52;211
Pozuelo - Estación;31/05/2020 9:00;10;26,07;348;907,17;212
Pozuelo - Somosaguas;31/05/2020 9:00;;12,99;191;826,73;213
Presentación Sabio;31/05/2020 9:00;7;31,31;203;908,07;214
Prosperidad;31/05/2020 9:00;;5,43;685;1238,83;215
Puerta Bonita;31/05/2020 9:00;15;101,24;239;1613,12;216
Puerta de Madrid;31/05/2020 9:00;;22,5;154;1154,86;217
Puerta del Ángel;31/05/2020 9:00;6;33,81;209;1177,86;218
Quinta de los Molinos;31/05/2020 9:00;;26,44;89;784,42;219
Rafael Alberti;31/05/2020 9:00;;24,82;226;1121,98;220
Ramón y Cajal;31/05/2020 9:00;;15,16;296;1495,7;221
Rascafría;31/05/2020 9:00;;0;7;265,55;222
Reina Victoria;31/05/2020 9:00;;14,42;503;1450,49;223
Rejas;31/05/2020 9:00;;17,96;94;562,77;224
Reyes Católicos;31/05/2020 9:00;9;43,11;174;833,37;225
Reyes Magos;31/05/2020 9:00;8;30,3;419;1586,76;226
Rivas - La Paz;31/05/2020 9:00;;17,08;243;1037,53;227
Rivas - Santa Mónica;31/05/2020 9:00;;0;212;570,44;228
Rivas - 1º de Mayo;31/05/2020 9:00;;14,51;123;446,22;229
Robledo de Chavela;31/05/2020 9:00;;0;47;509,04;230
Rosa Luxemburgo;31/05/2020 9:00;14;58,07;168;696,89;231
San Andrés;31/05/2020 9:00;;0;233;993,86;232
San Blas;31/05/2020 9:00;;15,76;161;507,5;233
San Cristóbal;31/05/2020 9:00;;14,52;186;900,46;234
San Diego;31/05/2020 9:00;12;46,48;345;1336,33;235
San Fermín;31/05/2020 9:00;;4,22;245;1034,02;236
San Fernando;31/05/2020 9:00;9;45,75;221;1123,31;237
San Isidro;31/05/2020 9:00;7;40,63;197;1143,42;238
San Juan de la Cruz;31/05/2020 9:00;10;40,07;292;1169,97;239
San Lorenzo de El Escorial;31/05/2020 9:00;6;28,19;196;921,01;240
San Martín de Valdeiglesias;31/05/2020 9:00;;45,23;114;1031,21;241
San Martín de la Vega;31/05/2020 9:00;;20,87;97;506;242
Sanchinarro;31/05/2020 9:00;;6,84;183;626,03;243
Santa Eugenia;31/05/2020 9:00;;12,34;321;1320,39;244
Sector Embarcaciones;31/05/2020 9:00;;10,53;199;698,69;245
Sector III;31/05/2020 9:00;7;24,33;296;1028,85;246
Sector Oficios;31/05/2020 9:00;;10,4;229;1190,23;247
Segovia;31/05/2020 9:00;;21,98;196;861,5;248
Segre;31/05/2020 9:00;34;89,34;476;1250,79;249
Sevilla la Nueva;31/05/2020 9:00;6;48,69;157;1274,14;250
Sierra de Guadarrama;31/05/2020 9:00;;6,57;124;814,93;251
Silvano;31/05/2020 9:00;12;29,37;339;829,62;252
Simancas;31/05/2020 9:00;;17,91;242;866,64;253
Soto del Real;31/05/2020 9:00;;15,95;172;686;254
Sánchez Morate;31/05/2020 9:00;;21,87;150;820,03;255
Torrelaguna;31/05/2020 9:00;11;171,63;49;764,55;256
Torrelodones;31/05/2020 9:00;;15,55;388;1206,81;257
Torres de la Alameda;31/05/2020 9:00;;3,87;201;778,04;258
V Centenario;31/05/2020 9:00;22;139,53;118;748,4;259
Valdeacederas;31/05/2020 9:00;6;23,04;365;1401,85;260
Valdebernardo;31/05/2020 9:00;6;37,81;273;1720,55;261
Valdelasfuentes;31/05/2020 9:00;16;60,86;213;810,13;262
Valdemorillo;31/05/2020 9:00;;7,99;49;391,44;263
Valdemoro;31/05/2020 9:00;6;13,86;519;1198,61;264
Valderribas;31/05/2020 9:00;8;40,19;128;643,05;265
Valdezarza;31/05/2020 9:00;11;23,92;654;1421,96;266
Valle Inclán;31/05/2020 9:00;;38,33;131;1255,15;267
Valle de la Oliva;31/05/2020 9:00;;14,34;163;778,9;268
Valleaguado;31/05/2020 9:00;7;32,93;208;978,46;269
Vandel;31/05/2020 9:00;8;35,73;305;1362,28;270
Vicente Muzas;31/05/2020 9:00;;4,8;175;840,7;271
Vicálvaro - Artilleros;31/05/2020 9:00;;10,73;266;1427,57;272
Vicálvaro - Villablanca;31/05/2020 9:00;;28,27;185;1046,03;273
Villa Vallecas;31/05/2020 9:00;;14,65;497;1819,98;274
Villa del Prado;31/05/2020 9:00;6;64,12;190;2030,35;275
Villaamil;31/05/2020 9:00;;15,99;350;1399,22;276
Villanueva de la Cañada;31/05/2020 9:00;13;36,5;312;875,91;277
Villanueva del Pardillo;31/05/2020 9:00;;5,82;106;617;278
Villarejo de Salvanés;31/05/2020 9:00;;21,2;89;629,06;279
Villaviciosa de Odón;31/05/2020 9:00;6;21,56;222;797,56;280
Vinateros - Torito;31/05/2020 9:00;22;71,09;464;1499,29;281
Virgen de Begoña;31/05/2020 9:00;;41,48;187;1939,03;282
Virgen del Cortijo;31/05/2020 9:00;;14,23;132;938,97;283
Virgen del Val;31/05/2020 9:00;;28,29;135;954,81;284
Vista Alegre;31/05/2020 9:00;9;24,35;383;1036,23;285
Zofío;31/05/2020 9:00;6;19,07;337;1070,96;286
